,full_date,day_of_week,day,month,year,hour,minute,product,machine,selling_price,cost_price,profit,inventory
0,2019-11-14 11:53:35+00:00,Thursday,14,11,2019,11,53,refill,A,0.0,130.0,-130.0,"{'coffee': 280, 'soda': 120, 'nrj': 60}"
1,2019-11-14 12:06:35+00:00,Thursday,14,11,2019,12,6,coffee,A,1.0,0.3,0.7,279
2,2019-11-14 12:07:59+00:00,Thursday,14,11,2019,12,7,soda,A,1.6,0.6,1.0,119
3,2019-11-14 12:13:45+00:00,Thursday,14,11,2019,12,13,soda,A,1.6,0.6,1.0,118
4,2019-11-14 12:22:35+00:00,Thursday,14,11,2019,12,22,coffee,A,1.0,0.3,0.7,278
5,2019-11-14 12:37:44+00:00,Thursday,14,11,2019,12,37,soda,A,1.6,0.6,1.0,117
6,2019-11-14 12:47:09+00:00,Thursday,14,11,2019,12,47,refill,B,0.0,130.0,-130.0,"{'coffee': 280, 'soda': 120, 'nrj': 60}"
7,2019-11-14 12:47:52+00:00,Thursday,14,11,2019,12,47,coffee,A,1.0,0.3,0.7,277
8,2019-11-14 12:51:00+00:00,Thursday,14,11,2019,12,51,coffee,A,1.0,0.3,0.7,276
9,2019-11-14 12:52:49+00:00,Thursday,14,11,2019,12,52,coffee,A,1.0,0.3,0.7,275
10,2019-11-14 12:55:16+00:00,Thursday,14,11,2019,12,55,coffee,A,1.0,0.3,0.7,274
11,2019-11-14 12:55:53+00:00,Thursday,14,11,2019,12,55,soda,A,1.6,0.6,1.0,116
12,2019-11-14 12:56:49+00:00,Thursday,14,11,2019,12,56,coffee,A,1.0,0.3,0.7,273
13,2019-11-14 13:01:09+00:00,Thursday,14,11,2019,13,1,coffee,B,1.0,0.3,0.7,279
14,2019-11-14 13:03:46+00:00,Thursday,14,11,2019,13,3,coffee,B,1.0,0.3,0.7,278
15,2019-11-14 13:11:34+00:00,Thursday,14,11,2019,13,11,coffee,A,1.0,0.3,0.7,272
16,2019-11-14 13:11:52+00:00,Thursday,14,11,2019,13,11,coffee,B,1.0,0.3,0.7,277
17,2019-11-14 13:17:40+00:00,Thursday,14,11,2019,13,17,coffee,A,1.0,0.3,0.7,271
18,2019-11-14 13:25:54+00:00,Thursday,14,11,2019,13,25,coffee,A,1.0,0.3,0.7,270
19,2019-11-14 13:27:47+00:00,Thursday,14,11,2019,13,27,coffee,A,1.0,0.3,0.7,269
20,2019-11-14 13:38:02+00:00,Thursday,14,11,2019,13,38,soda,A,1.6,0.6,1.0,115
21,2019-11-14 13:44:06+00:00,Thursday,14,11,2019,13,44,coffee,B,1.0,0.3,0.7,276
22,2019-11-14 13:48:50+00:00,Thursday,14,11,2019,13,48,coffee,A,1.0,0.3,0.7,268
23,2019-11-14 13:51:00+00:00,Thursday,14,11,2019,13,51,coffee,B,1.0,0.3,0.7,275
24,2019-11-14 13:51:23+00:00,Thursday,14,11,2019,13,51,refill,C,0.0,130.0,-130.0,"{'coffee': 280, 'soda': 120, 'nrj': 60}"
25,2019-11-14 14:00:15+00:00,Thursday,14,11,2019,14,0,coffee,B,1.0,0.3,0.7,274
26,2019-11-14 14:00:23+00:00,Thursday,14,11,2019,14,0,coffee,C,1.0,0.3,0.7,279
27,2019-11-14 14:03:36+00:00,Thursday,14,11,2019,14,3,coffee,C,1.0,0.3,0.7,278
28,2019-11-14 14:03:38+00:00,Thursday,14,11,2019,14,3,coffee,A,1.0,0.3,0.7,267
29,2019-11-14 14:11:06+00:00,Thursday,14,11,2019,14,11,coffee,B,1.0,0.3,0.7,273
30,2019-11-14 14:13:08+00:00,Thursday,14,11,2019,14,13,coffee,C,1.0,0.3,0.7,277
31,2019-11-14 14:15:43+00:00,Thursday,14,11,2019,14,15,soda,C,1.6,0.6,1.0,119
32,2019-11-14 14:20:13+00:00,Thursday,14,11,2019,14,20,coffee,B,1.0,0.3,0.7,272
33,2019-11-14 14:22:53+00:00,Thursday,14,11,2019,14,22,coffee,B,1.0,0.3,0.7,271
34,2019-11-14 14:27:39+00:00,Thursday,14,11,2019,14,27,coffee,B,1.0,0.3,0.7,270
35,2019-11-14 14:29:10+00:00,Thursday,14,11,2019,14,29,nrj,C,1.8,0.8,1.0,59
36,2019-11-14 14:31:49+00:00,Thursday,14,11,2019,14,31,coffee,C,1.0,0.3,0.7,276
37,2019-11-14 14:32:18+00:00,Thursday,14,11,2019,14,32,coffee,C,1.0,0.3,0.7,275
38,2019-11-14 14:36:01+00:00,Thursday,14,11,2019,14,36,coffee,A,1.0,0.3,0.7,266
39,2019-11-14 14:40:49+00:00,Thursday,14,11,2019,14,40,soda,C,1.6,0.6,1.0,118
40,2019-11-14 14:46:49+00:00,Thursday,14,11,2019,14,46,soda,A,1.6,0.6,1.0,114
41,2019-11-14 14:50:17+00:00,Thursday,14,11,2019,14,50,coffee,C,1.0,0.3,0.7,274
42,2019-11-14 14:53:31+00:00,Thursday,14,11,2019,14,53,soda,B,1.6,0.6,1.0,119
43,2019-11-14 14:54:30+00:00,Thursday,14,11,2019,14,54,refill,D,0.0,130.0,-130.0,"{'coffee': 280, 'soda': 120, 'nrj': 60}"
44,2019-11-14 14:57:26+00:00,Thursday,14,11,2019,14,57,coffee,A,1.0,0.3,0.7,265
45,2019-11-14 14:57:59+00:00,Thursday,14,11,2019,14,57,coffee,C,1.0,0.3,0.7,273
46,2019-11-14 15:04:55+00:00,Thursday,14,11,2019,15,4,coffee,C,1.0,0.3,0.7,272
47,2019-11-14 15:05:46+00:00,Thursday,14,11,2019,15,5,coffee,A,1.0,0.3,0.7,264
48,2019-11-14 15:06:30+00:00,Thursday,14,11,2019,15,6,coffee,D,1.0,0.3,0.7,279
49,2019-11-14 15:09:00+00:00,Thursday,14,11,2019,15,9,soda,A,1.6,0.6,1.0,113
50,2019-11-14 15:09:19+00:00,Thursday,14,11,2019,15,9,soda,B,1.6,0.6,1.0,118
51,2019-11-14 15:19:49+00:00,Thursday,14,11,2019,15,19,soda,D,1.6,0.6,1.0,119
52,2019-11-14 15:21:49+00:00,Thursday,14,11,2019,15,21,soda,B,1.6,0.6,1.0,117
53,2019-11-14 15:22:02+00:00,Thursday,14,11,2019,15,22,coffee,C,1.0,0.3,0.7,271
54,2019-11-14 15:32:10+00:00,Thursday,14,11,2019,15,32,coffee,C,1.0,0.3,0.7,270
55,2019-11-14 15:32:24+00:00,Thursday,14,11,2019,15,32,coffee,A,1.0,0.3,0.7,263
56,2019-11-14 15:33:16+00:00,Thursday,14,11,2019,15,33,coffee,A,1.0,0.3,0.7,262
57,2019-11-14 15:34:59+00:00,Thursday,14,11,2019,15,34,coffee,B,1.0,0.3,0.7,269
58,2019-11-14 15:35:29+00:00,Thursday,14,11,2019,15,35,coffee,B,1.0,0.3,0.7,268
59,2019-11-14 15:35:49+00:00,Thursday,14,11,2019,15,35,soda,C,1.6,0.6,1.0,117
60,2019-11-14 15:39:46+00:00,Thursday,14,11,2019,15,39,nrj,A,1.8,0.8,1.0,59
61,2019-11-14 15:41:54+00:00,Thursday,14,11,2019,15,41,coffee,B,1.0,0.3,0.7,267
62,2019-11-14 15:43:43+00:00,Thursday,14,11,2019,15,43,coffee,C,1.0,0.3,0.7,269
63,2019-11-14 15:45:38+00:00,Thursday,14,11,2019,15,45,coffee,C,1.0,0.3,0.7,268
64,2019-11-14 15:54:55+00:00,Thursday,14,11,2019,15,54,coffee,A,1.0,0.3,0.7,261
65,2019-11-14 15:56:22+00:00,Thursday,14,11,2019,15,56,coffee,C,1.0,0.3,0.7,267
66,2019-11-14 15:59:54+00:00,Thursday,14,11,2019,15,59,coffee,D,1.0,0.3,0.7,278
67,2019-11-14 16:00:33+00:00,Thursday,14,11,2019,16,0,coffee,A,1.0,0.3,0.7,260
68,2019-11-14 16:00:39+00:00,Thursday,14,11,2019,16,0,soda,D,1.6,0.6,1.0,118
69,2019-11-14 16:02:19+00:00,Thursday,14,11,2019,16,2,coffee,D,1.0,0.3,0.7,277
70,2019-11-14 16:02:22+00:00,Thursday,14,11,2019,16,2,soda,C,1.6,0.6,1.0,116
71,2019-11-14 16:03:59+00:00,Thursday,14,11,2019,16,3,coffee,D,1.0,0.3,0.7,276
72,2019-11-14 16:08:17+00:00,Thursday,14,11,2019,16,8,coffee,A,1.0,0.3,0.7,259
73,2019-11-14 16:09:38+00:00,Thursday,14,11,2019,16,9,coffee,C,1.0,0.3,0.7,266
74,2019-11-14 16:11:19+00:00,Thursday,14,11,2019,16,11,coffee,C,1.0,0.3,0.7,265
75,2019-11-14 16:12:24+00:00,Thursday,14,11,2019,16,12,nrj,D,1.8,0.8,1.0,59
76,2019-11-14 16:17:14+00:00,Thursday,14,11,2019,16,17,soda,D,1.6,0.6,1.0,117
77,2019-11-14 16:18:07+00:00,Thursday,14,11,2019,16,18,coffee,A,1.0,0.3,0.7,258
78,2019-11-14 16:23:06+00:00,Thursday,14,11,2019,16,23,coffee,B,1.0,0.3,0.7,266
79,2019-11-14 16:25:03+00:00,Thursday,14,11,2019,16,25,coffee,C,1.0,0.3,0.7,264
80,2019-11-14 16:36:53+00:00,Thursday,14,11,2019,16,36,coffee,D,1.0,0.3,0.7,275
81,2019-11-14 16:39:35+00:00,Thursday,14,11,2019,16,39,soda,C,1.6,0.6,1.0,115
82,2019-11-14 16:41:07+00:00,Thursday,14,11,2019,16,41,soda,B,1.6,0.6,1.0,116
83,2019-11-14 16:43:28+00:00,Thursday,14,11,2019,16,43,coffee,D,1.0,0.3,0.7,274
84,2019-11-14 16:55:43+00:00,Thursday,14,11,2019,16,55,soda,A,1.6,0.6,1.0,112
85,2019-11-14 16:57:09+00:00,Thursday,14,11,2019,16,57,soda,C,1.6,0.6,1.0,114
86,2019-11-14 17:01:56+00:00,Thursday,14,11,2019,17,1,soda,C,1.6,0.6,1.0,113
87,2019-11-14 17:02:35+00:00,Thursday,14,11,2019,17,2,nrj,C,1.8,0.8,1.0,58
88,2019-11-14 17:03:04+00:00,Thursday,14,11,2019,17,3,nrj,A,1.8,0.8,1.0,58
89,2019-11-14 17:06:40+00:00,Thursday,14,11,2019,17,6,nrj,C,1.8,0.8,1.0,57
90,2019-11-14 17:12:08+00:00,Thursday,14,11,2019,17,12,soda,C,1.6,0.6,1.0,112
91,2019-11-14 17:12:44+00:00,Thursday,14,11,2019,17,12,nrj,D,1.8,0.8,1.0,58
92,2019-11-14 17:13:03+00:00,Thursday,14,11,2019,17,13,soda,D,1.6,0.6,1.0,116
93,2019-11-14 17:19:38+00:00,Thursday,14,11,2019,17,19,coffee,D,1.0,0.3,0.7,273
94,2019-11-14 17:21:02+00:00,Thursday,14,11,2019,17,21,coffee,D,1.0,0.3,0.7,272
95,2019-11-14 17:22:09+00:00,Thursday,14,11,2019,17,22,coffee,C,1.0,0.3,0.7,263
96,2019-11-14 17:24:35+00:00,Thursday,14,11,2019,17,24,nrj,A,1.8,0.8,1.0,57
97,2019-11-14 17:32:14+00:00,Thursday,14,11,2019,17,32,nrj,C,1.8,0.8,1.0,56
98,2019-11-14 17:34:16+00:00,Thursday,14,11,2019,17,34,soda,C,1.6,0.6,1.0,111
99,2019-11-14 17:35:20+00:00,Thursday,14,11,2019,17,35,soda,D,1.6,0.6,1.0,115
100,2019-11-14 17:40:37+00:00,Thursday,14,11,2019,17,40,soda,C,1.6,0.6,1.0,110
101,2019-11-14 17:42:37+00:00,Thursday,14,11,2019,17,42,nrj,B,1.8,0.8,1.0,59
102,2019-11-14 17:45:42+00:00,Thursday,14,11,2019,17,45,coffee,D,1.0,0.3,0.7,271
103,2019-11-14 17:46:00+00:00,Thursday,14,11,2019,17,46,soda,B,1.6,0.6,1.0,115
104,2019-11-14 17:58:02+00:00,Thursday,14,11,2019,17,58,soda,A,1.6,0.6,1.0,111
105,2019-11-14 18:01:35+00:00,Thursday,14,11,2019,18,1,soda,A,1.6,0.6,1.0,110
106,2019-11-14 18:02:44+00:00,Thursday,14,11,2019,18,2,soda,D,1.6,0.6,1.0,114
107,2019-11-14 18:04:54+00:00,Thursday,14,11,2019,18,4,coffee,D,1.0,0.3,0.7,270
108,2019-11-14 18:11:58+00:00,Thursday,14,11,2019,18,11,soda,B,1.6,0.6,1.0,114
109,2019-11-14 18:12:56+00:00,Thursday,14,11,2019,18,12,soda,D,1.6,0.6,1.0,113
110,2019-11-14 18:15:04+00:00,Thursday,14,11,2019,18,15,soda,D,1.6,0.6,1.0,112
111,2019-11-14 18:16:12+00:00,Thursday,14,11,2019,18,16,soda,B,1.6,0.6,1.0,113
112,2019-11-14 18:16:43+00:00,Thursday,14,11,2019,18,16,nrj,C,1.8,0.8,1.0,55
113,2019-11-14 18:22:46+00:00,Thursday,14,11,2019,18,22,soda,B,1.6,0.6,1.0,112
114,2019-11-14 18:25:19+00:00,Thursday,14,11,2019,18,25,coffee,D,1.0,0.3,0.7,269
115,2019-11-14 18:29:18+00:00,Thursday,14,11,2019,18,29,nrj,B,1.8,0.8,1.0,58
116,2019-11-14 18:34:48+00:00,Thursday,14,11,2019,18,34,coffee,C,1.0,0.3,0.7,262
117,2019-11-14 18:38:40+00:00,Thursday,14,11,2019,18,38,soda,A,1.6,0.6,1.0,109
118,2019-11-14 18:41:23+00:00,Thursday,14,11,2019,18,41,coffee,C,1.0,0.3,0.7,261
